State, County, FIPS, Total,Commercial,Industrial,Residential,Electricity Prod,Onroad,Cement,Aircraft,Airborne,Nonroad,Pop 2000,Total per capita,Commercial per capita,Industrial per capita,Residential per capita,Electricity Prod per capita,Onroad per capita,Cement per capita,Aircraft per capita,Unknown per capita,Nonroad per capita,Transport per capita
AL,Autauga,1001,0.256166625,0.003000711,0.004433801,0.010148499,0.155508352,0.074760707,0,0.00097581,0.002452879,0.004885866,43671,5.865829163,0.068711759,0.101527345,0.232385318,3.560906606,1.711907369,0,0.022344572,0.056167233,0.111878962,1.902298137
AL,Baldwin,1003,0.450031262,0.015348179,0.011883677,0.031948461,0,0.278708931,0,0.017842097,0.044849406,0.049450512,140415,3.205008455,0.109305839,0.084632531,0.227528835,0,1.984894283,0,0.127066885,0.319406086,0.352173997,2.783541251
AL,Barbour,1005,0.099370333,0.001904576,0.008555456,0.006283527,0,0.057142541,0,0.005468961,0.01374724,0.006268033,29038,3.422079117,0.065589089,0.294629655,0.216389794,0,1.967853874,0,0.188338059,0.473422422,0.215856222,2.845470578
AL,Bibb,1007,0.045945071,0.00076877,0.001622062,0.004614391,0,0.035745693,0,0.00038026,0.000955853,0.001858042,20826,2.20613998,0.036913957,0.07788641,0.221568766,0,1.716397441,0,0.018258901,0.045897104,0.089217401,1.869770846
AL,Blount,1009,0.114776252,0.001951411,0.009059451,0.011162115,0,0.087400729,0,0.000298024,0.000749139,0.004155384,51024,2.249456173,0.038244955,0.177552731,0.218762053,0,1.712933689,0,0.005840861,0.014682095,0.081439789,1.814896435
AL,Bullock,1011,0.031340059,0.000482451,0.003496984,0.002666056,0,0.023310574,0,0,0,0.001383994,11714,2.675436119,0.041185884,0.298530268,0.227595685,0,1.98997561,0,0,0,0.118148672,2.108124282
AL,Butler,1013,0.09800971,0.001653979,0.003211287,0.005054764,0,0.08266826,0,0.000530852,0.001334394,0.003556174,21399,4.580107027,0.077292352,0.150067154,0.236214973,0,3.863183308,0,0.024807325,0.06235778,0.166184135,4.116532548
AL,Calhoun,1015,0.466962819,0.012576595,0.046280841,0.02742766,0,0.347098999,0,0.005050189,0.012694581,0.015833953,112249,4.16006217,0.112041937,0.412305156,0.244346586,0,3.092223526,0,0.044990946,0.113093047,0.141060972,3.391368491
AL,Chambers,1017,0.084447303,0.002430528,0.011209059,0.008560152,0,0.057028016,0,0.000354646,0.000891469,0.003973432,36583,2.30837555,0.06643874,0.306400753,0.23399262,0,1.558866584,0,0.009694282,0.024368404,0.108614165,1.701543436
AL,Cherokee,1019,0.062065659,0.000858243,0.001763532,0.005159923,0,0.044732128,0,0.000579424,0.001456489,0.00751592,23988,2.587362811,0.035778028,0.073517278,0.215104362,0,1.864771033,0,0.024154732,0.060717389,0.313319989,2.262963143
AL,Chilton,1021,0.172527289,0.00193918,0.053766503,0.008852647,0,0.094827977,0,0.002568418,0.006456194,0.00411637,39593,4.357519979,0.04897785,1.357980021,0.223591208,0,2.39506925,0,0.064870511,0.163064037,0.103967103,2.726970901
AL,Choctaw,1023,0.058373908,0.000686135,0.019990159,0.003648675,0,0.028419235,0,0.000206126,0.000518137,0.004905441,15922,3.66624221,0.043093532,1.255505556,0.229159316,0,1.784903594,0,0.012945998,0.032542176,0.308092038,2.138483806
AL,Clarke,1025,0.077981329,0.00207411,0.015539797,0.006764333,0.000668431,0.045197688,0,0.000433939,0.001090785,0.006212246,27867,2.798339564,0.074428904,0.557641558,0.242736313,0.023986483,1.621907199,0,0.015571772,0.03914252,0.222924814,1.899546306
AL,Clay,1027,0.038342555,0.000665157,0.00503668,0.003295634,0,0.025840536,0,0.000317914,0.000799137,0.002387497,14254,2.689950559,0.046664553,0.353352019,0.231207689,0,1.812862082,0,0.02230348,0.056064073,0.167496663,2.058726298
AL,Cleburne,1029,0.069492041,0.000367815,0.003013639,0.003397554,0,0.061386227,0,0,0,0.001326805,14123,4.920487241,0.026043708,0.213385221,0.24056888,0,4.346542999,0,0,0,0.093946433,4.440489431
